町丁字名,世帯数,総数,0 ～,5 ～,10～,15～,20～,25～,30～,35～,40～,45～,50～,55～,60～,65～,70～,75～,80～,85～,90～,95～,100歳
旭町2丁目,155,266,5,5,6,6,10,16,13,11,12,8,19,15,12,9,10,23,38,22,23,2,1
旭町3丁目,60,117,1,2,4,3,6,2,5,3,5,11,13,7,7,10,13,8,12,3,2,－,－
旭町4丁目,30,57,1,－,2,3,3,4,2,1,3,5,2,4,－,1,1,10,6,5,1,2,1
西馬橋1丁目,"1,349","2,562",87,107,112,87,138,171,139,181,176,195,214,184,143,110,113,145,124,100,28,7,1
西馬橋2丁目,827,"1,635",38,45,54,40,69,84,81,72,94,98,123,103,112,104,115,128,145,88,34,7,1
西馬橋3丁目,"1,175","2,180",49,61,92,69,108,108,125,125,143,144,190,162,112,94,129,179,144,101,42,3,－
西馬橋4丁目,"1,023","2,183",63,92,93,110,123,111,112,121,152,156,199,154,115,110,123,156,109,55,23,5,1
西馬橋5丁目,418,886,23,21,45,51,36,42,56,44,56,53,76,68,65,53,59,57,50,18,8,4,1
常盤平1丁目,"1,090","1,989",78,62,52,70,123,148,133,111,93,141,170,163,114,90,112,120,110,67,29,3,－
常盤平2丁目,"2,091","3,370",72,78,70,88,175,210,176,156,162,194,256,241,247,172,244,262,252,191,102,21,1
常盤平3丁目,"2,742","4,349",126,103,110,136,168,257,247,248,256,269,360,337,323,267,349,328,260,138,53,12,2
常盤平4丁目,"3,029","5,060",84,97,132,197,389,292,181,211,224,296,465,444,378,294,369,387,326,201,81,10,2
常盤平5丁目,"1,035","1,762",48,32,43,44,118,126,106,93,94,109,140,153,148,120,100,93,82,69,31,12,1
常盤平6丁目,827,"1,839",41,62,105,102,122,83,76,87,97,132,176,194,150,90,84,84,65,57,20,11,1
常盤平7丁目,"1,629","2,917",68,77,104,113,169,167,167,146,153,147,222,253,200,160,194,214,173,117,57,14,2
常盤平西窪町,"1,005","2,119",85,100,90,90,95,120,128,117,154,134,163,127,125,100,112,123,125,77,41,12,1
常盤平双葉町,702,"1,654",47,62,118,142,73,45,53,72,92,181,178,103,109,89,47,89,72,47,28,7,－
常盤平柳町,696,"1,546",81,86,75,64,82,82,78,100,118,113,118,103,86,70,63,83,64,53,23,3,1
常盤平陣屋前,"1,079","1,809",78,62,52,46,114,186,163,134,134,118,147,146,107,72,70,62,45,51,17,4,1
